Dataset,Split,Axis,Coverage,n_kept,mean_axis_score_kept,V2_R@1,V2_risk,rho,candidate_pool,uncertainty_k,mean_alpha_full,mean_SU_full,mean_LU_full
MSLS-val held-out,heldout,SU,0.5,259,0.5907526612281799,96.52509652509652,3.474903474903485,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,SU,0.6,311,0.6183188557624817,96.14147909967846,3.858520900321537,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,SU,0.7,363,0.6438488364219666,95.59228650137742,4.407713498622584,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,SU,0.8,415,0.6679180264472961,92.7710843373494,7.228915662650607,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,SU,0.9,467,0.691603422164917,90.36402569593149,9.635974304068512,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,SU,1.0,518,0.7153035998344421,85.32818532818533,14.671814671814673,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,LU,0.05,26,0.8166406154632568,100.0,0.0,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,LU,0.1,52,0.8389074802398682,94.23076923076923,5.769230769230774,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,LU,0.2,104,0.8616943359375,87.5,12.5,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,LU,0.3,156,0.8740905523300171,88.46153846153845,11.538461538461547,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,LU,0.4,208,0.8827190399169922,86.53846153846155,13.461538461538453,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,LU,0.5,259,0.8895668983459473,86.48648648648648,13.513513513513516,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,LU,0.6,311,0.8955931663513184,84.2443729903537,15.755627009646304,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,LU,0.7,363,0.9009484052658081,84.84848484848484,15.151515151515156,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,LU,0.8,415,0.9059098362922668,85.06024096385542,14.93975903614458,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,LU,0.9,467,0.9107568264007568,85.22483940042827,14.775160599571734,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,LU,1.0,518,0.9160003662109375,85.32818532818533,14.671814671814673,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,joint_variance_unweighted,0.05,26,0.3059397339820862,100.0,0.0,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,joint_variance_unweighted,0.1,52,0.45359376072883606,98.07692307692307,1.923076923076934,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,joint_variance_unweighted,0.2,104,0.6471936106681824,97.11538461538461,2.884615384615387,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,joint_variance_unweighted,0.3,156,0.8051121234893799,97.43589743589743,2.564102564102569,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,joint_variance_unweighted,0.4,208,0.9329458475112915,95.67307692307693,4.326923076923066,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,joint_variance_unweighted,0.5,259,1.0427696704864502,94.98069498069498,5.019305019305023,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,joint_variance_unweighted,0.6,311,1.1453498601913452,94.53376205787781,5.466237942122191,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,joint_variance_unweighted,0.7,363,1.2562392950057983,92.56198347107438,7.4380165289256155,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,joint_variance_unweighted,0.8,415,1.3666318655014038,90.12048192771084,9.879518072289159,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,joint_variance_unweighted,0.9,467,1.476786494255066,87.15203426124198,12.84796573875802,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,joint_variance_unweighted,1.0,518,1.6072770357131958,85.32818532818533,14.671814671814673,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,language_weight_1_minus_alpha,0.05,26,0.051208239048719406,100.0,0.0,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,language_weight_1_minus_alpha,0.1,52,0.0662226751446724,100.0,0.0,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,language_weight_1_minus_alpha,0.2,104,0.09206946939229965,99.03846153846155,0.9615384615384528,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,language_weight_1_minus_alpha,0.3,156,0.11340730637311935,98.71794871794873,1.2820512820512704,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,language_weight_1_minus_alpha,0.4,208,0.13510264456272125,97.11538461538461,2.884615384615387,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,language_weight_1_minus_alpha,0.5,259,0.1544146090745926,95.36679536679536,4.633204633204642,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,language_weight_1_minus_alpha,0.6,311,0.1740807592868805,92.60450160771704,7.39549839228296,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,language_weight_1_minus_alpha,0.7,363,0.1945902705192566,90.35812672176309,9.641873278236915,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,language_weight_1_minus_alpha,0.8,415,0.21561385691165924,88.67469879518072,11.325301204819283,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,language_weight_1_minus_alpha,0.9,467,0.2386985868215561,86.7237687366167,13.276231263383295,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
MSLS-val held-out,heldout,language_weight_1_minus_alpha,1.0,518,0.27628275752067566,85.32818532818533,14.671814671814673,3.0,10,10,0.723717212677002,0.7153035402297974,0.9160003662109375
Nordland-clean,full,SU,0.05,20,0.5402199625968933,70.0,30.0,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,SU,0.1,40,0.5829547643661499,72.5,27.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,SU,0.2,80,0.636773407459259,71.25,28.75,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,SU,0.3,120,0.6725009679794312,71.66666666666667,28.33333333333333,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,SU,0.4,160,0.7002346515655518,72.5,27.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,SU,0.5,200,0.7228535413742065,68.0,32.0,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,SU,0.6,240,0.7424874901771545,63.74999999999999,36.25000000000001,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,SU,0.7,280,0.7604761719703674,60.71428571428571,39.28571428571429,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,SU,0.8,320,0.7761451601982117,55.3125,44.6875,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,SU,0.9,360,0.7906224727630615,52.77777777777778,47.22222222222222,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,SU,1.0,400,0.8055589199066162,50.5,49.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,LU,0.05,20,0.7616593837738037,45.0,55.0,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,LU,0.1,40,0.7803736925125122,47.5,52.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,LU,0.2,80,0.804460883140564,48.75,51.25,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
