seed,split,n_calibration,n_evaluation,rho,candidate_pool,uncertainty_k,R@1,R@5,R@10,count@1,count@5,count@10,mean_alpha
7,calibration,222,518,6.0,50,10,85.58558558558559,91.8918918918919,92.7927927927928,190,204,206,0.8287943005561829
7,calibration,222,518,8.0,50,10,84.68468468468468,91.44144144144144,92.7927927927928,188,203,206,0.8622759580612183
7,calibration,222,518,10.0,50,10,84.68468468468468,91.44144144144144,93.24324324324324,188,203,207,0.8843870162963867
7,calibration,222,518,0.5,100,10,80.63063063063063,90.54054054054053,92.34234234234235,179,201,205,0.3578861653804779
7,calibration,222,518,1.0,100,10,84.68468468468468,92.34234234234235,92.7927927927928,188,205,206,0.5028861165046692
7,calibration,222,518,1.5,100,10,86.03603603603604,92.7927927927928,93.24324324324324,191,206,207,0.5892797708511353
7,calibration,222,518,2.0,100,10,86.48648648648648,92.7927927927928,93.24324324324324,192,206,207,0.6479908227920532
7,calibration,222,518,3.0,100,10,86.03603603603604,91.8918918918919,93.69369369369369,191,204,208,0.723937451839447
7,calibration,222,518,4.0,100,10,86.03603603603604,91.8918918918919,92.7927927927928,191,204,206,0.771579921245575
7,calibration,222,518,6.0,100,10,85.58558558558559,91.8918918918919,92.7927927927928,190,204,206,0.8287943005561829
7,calibration,222,518,8.0,100,10,84.68468468468468,91.44144144144144,92.7927927927928,188,203,206,0.8622759580612183
7,calibration,222,518,10.0,100,10,84.68468468468468,91.44144144144144,93.24324324324324,188,203,207,0.8843870162963867
21,calibration,222,518,0.5,10,10,85.58558558558559,92.7927927927928,93.69369369369369,190,206,208,0.3626212179660797
21,calibration,222,518,1.0,10,10,86.03603603603604,92.7927927927928,93.69369369369369,191,206,208,0.5070372819900513
21,calibration,222,518,1.5,10,10,86.03603603603604,92.7927927927928,93.69369369369369,191,206,208,0.5921648144721985
21,calibration,222,518,2.0,10,10,86.93693693693693,92.7927927927928,93.69369369369369,193,206,208,0.6497007012367249
21,calibration,222,518,3.0,10,10,86.93693693693693,92.7927927927928,93.69369369369369,193,206,208,0.7238472104072571
21,calibration,222,518,4.0,10,10,87.38738738738738,92.7927927927928,93.69369369369369,194,206,208,0.7702720761299133
21,calibration,222,518,6.0,10,10,87.38738738738738,92.34234234234235,93.69369369369369,194,205,208,0.8260698318481445
21,calibration,222,518,8.0,10,10,86.93693693693693,91.8918918918919,93.69369369369369,193,204,208,0.8588494658470154
21,calibration,222,518,10.0,10,10,86.93693693693693,91.8918918918919,93.69369369369369,193,204,208,0.8806113600730896
21,calibration,222,518,0.5,20,10,85.13513513513513,90.990990990991,93.69369369369369,189,202,208,0.3626212179660797
21,calibration,222,518,1.0,20,10,85.58558558558559,92.34234234234235,93.69369369369369,190,205,208,0.5070372819900513
21,calibration,222,518,1.5,20,10,86.03603603603604,92.34234234234235,93.69369369369369,191,205,208,0.5921648144721985
21,calibration,222,518,2.0,20,10,86.93693693693693,92.34234234234235,93.69369369369369,193,205,208,0.6497007012367249
21,calibration,222,518,3.0,20,10,86.93693693693693,91.8918918918919,93.69369369369369,193,204,208,0.7238472104072571
21,calibration,222,518,4.0,20,10,87.38738738738738,91.8918918918919,93.69369369369369,194,204,208,0.7702720761299133
21,calibration,222,518,6.0,20,10,87.38738738738738,92.34234234234235,93.69369369369369,194,205,208,0.8260698318481445
21,calibration,222,518,8.0,20,10,86.93693693693693,91.8918918918919,93.69369369369369,193,204,208,0.8588494658470154
21,calibration,222,518,10.0,20,10,86.93693693693693,91.8918918918919,93.69369369369369,193,204,208,0.8806113600730896
21,calibration,222,518,0.5,50,10,83.78378378378379,90.09009009009009,94.5945945945946,186,200,210,0.3626212179660797
21,calibration,222,518,1.0,50,10,85.58558558558559,92.34234234234235,94.5945945945946,190,205,210,0.5070372819900513
21,calibration,222,518,1.5,50,10,86.03603603603604,92.34234234234235,94.14414414414415,191,205,209,0.5921648144721985
21,calibration,222,518,2.0,50,10,86.93693693693693,92.34234234234235,94.14414414414415,193,205,209,0.6497007012367249
21,calibration,222,518,3.0,50,10,86.93693693693693,91.8918918918919,94.14414414414415,193,204,209,0.7238472104072571
21,calibration,222,518,4.0,50,10,87.38738738738738,91.8918918918919,94.14414414414415,194,204,209,0.7702720761299133
21,calibration,222,518,6.0,50,10,87.38738738738738,92.34234234234235,94.14414414414415,194,205,209,0.8260698318481445
21,calibration,222,518,8.0,50,10,86.93693693693693,91.8918918918919,94.14414414414415,193,204,209,0.8588494658470154
21,calibration,222,518,10.0,50,10,86.93693693693693,91.8918918918919,94.14414414414415,193,204,209,0.8806113600730896
21,calibration,222,518,0.5,100,10,83.78378378378379,90.54054054054053,92.7927927927928,186,201,206,0.3626212179660797
21,calibration,222,518,1.0,100,10,85.58558558558559,92.7927927927928,93.69369369369369,190,206,208,0.5070372819900513
21,calibration,222,518,1.5,100,10,86.03603603603604,92.7927927927928,94.14414414414415,191,206,209,0.5921648144721985
21,calibration,222,518,2.0,100,10,86.93693693693693,92.7927927927928,94.14414414414415,193,206,209,0.6497007012367249
21,calibration,222,518,3.0,100,10,86.93693693693693,92.34234234234235,94.14414414414415,193,205,209,0.7238472104072571
21,calibration,222,518,4.0,100,10,87.38738738738738,92.34234234234235,94.14414414414415,194,205,209,0.7702720761299133
21,calibration,222,518,6.0,100,10,87.38738738738738,92.7927927927928,94.14414414414415,194,206,209,0.8260698318481445
21,calibration,222,518,8.0,100,10,86.93693693693693,92.34234234234235,94.14414414414415,193,205,209,0.8588494658470154
21,calibration,222,518,10.0,100,10,86.93693693693693,92.34234234234235,94.14414414414415,193,205,209,0.8806113600730896
42,calibration,222,518,0.5,10,10,81.53153153153153,90.09009009009009,92.34234234234235,181,200,205,0.3597645163536072
42,calibration,222,518,1.0,10,10,83.33333333333334,90.09009009009009,92.34234234234235,185,200,205,0.502882182598114
42,calibration,222,518,1.5,10,10,85.13513513513513,90.990990990991,92.34234234234235,189,202,205,0.5876196026802063
42,calibration,222,518,2.0,10,10,85.13513513513513,90.990990990991,92.34234234234235,189,202,205,0.645152747631073
42,calibration,222,518,3.0,10,10,85.58558558558559,90.990990990991,92.34234234234235,190,202,205,0.7197359204292297
42,calibration,222,518,4.0,10,10,85.58558558558559,90.990990990991,92.34234234234235,190,202,205,0.7667623162269592
42,calibration,222,518,6.0,10,10,84.68468468468468,91.8918918918919,92.34234234234235,188,204,205,0.8236983418464661
42,calibration,222,518,8.0,10,10,84.23423423423422,91.8918918918919,92.34234234234235,187,204,205,0.857380211353302
42,calibration,222,518,10.0,10,10,84.23423423423422,91.8918918918919,92.34234234234235,187,204,205,0.879835844039917
42,calibration,222,518,0.5,20,10,81.08108108108108,89.63963963963964,92.34234234234235,180,199,205,0.3597645163536072
42,calibration,222,518,1.0,20,10,81.98198198198197,90.09009009009009,91.8918918918919,182,200,204,0.502882182598114
42,calibration,222,518,1.5,20,10,84.23423423423422,90.990990990991,91.8918918918919,187,202,204,0.5876196026802063
42,calibration,222,518,2.0,20,10,85.13513513513513,90.54054054054053,91.44144144144144,189,201,203,0.645152747631073
42,calibration,222,518,3.0,20,10,85.58558558558559,90.990990990991,91.44144144144144,190,202,203,0.7197359204292297
42,calibration,222,518,4.0,20,10,85.58558558558559,90.990990990991,91.44144144144144,190,202,203,0.7667623162269592
42,calibration,222,518,6.0,20,10,84.68468468468468,91.44144144144144,92.34234234234235,188,203,205,0.8236983418464661
42,calibration,222,518,8.0,20,10,84.23423423423422,91.8918918918919,92.34234234234235,187,204,205,0.857380211353302
42,calibration,222,518,10.0,20,10,84.23423423423422,91.8918918918919,92.34234234234235,187,204,205,0.879835844039917
42,calibration,222,518,0.5,50,10,80.63063063063063,88.28828828828829,91.44144144144144,179,196,203,0.3597645163536072
42,calibration,222,518,1.0,50,10,81.53153153153153,90.09009009009009,92.34234234234235,181,200,205,0.502882182598114
42,calibration,222,518,1.5,50,10,84.23423423423422,90.990990990991,92.34234234234235,187,202,205,0.5876196026802063
42,calibration,222,518,2.0,50,10,84.68468468468468,91.44144144144144,92.7927927927928,188,203,206,0.645152747631073
42,calibration,222,518,3.0,50,10,85.58558558558559,90.990990990991,92.7927927927928,190,202,206,0.7197359204292297
42,calibration,222,518,4.0,50,10,85.58558558558559,90.990990990991,92.34234234234235,190,202,205,0.7667623162269592
42,calibration,222,518,6.0,50,10,84.68468468468468,91.44144144144144,92.7927927927928,188,203,206,0.8236983418464661
42,calibration,222,518,8.0,50,10,84.23423423423422,91.8918918918919,92.7927927927928,187,204,206,0.857380211353302
42,calibration,222,518,10.0,50,10,84.23423423423422,91.8918918918919,92.7927927927928,187,204,206,0.879835844039917
42,calibration,222,518,0.5,100,10,80.18018018018019,88.73873873873875,90.09009009009009,178,197,200,0.3597645163536072
42,calibration,222,518,1.0,100,10,81.53153153153153,90.54054054054053,91.8918918918919,181,201,204,0.502882182598114
42,calibration,222,518,1.5,100,10,84.23423423423422,91.44144144144144,92.34234234234235,187,203,205,0.5876196026802063
42,calibration,222,518,2.0,100,10,84.68468468468468,91.8918918918919,92.7927927927928,188,204,206,0.645152747631073
