query_id,v1_best_positive_rank_in_top10,v2_best_positive_rank_in_top10,v1_bucket,v2_bucket,v1_R@1_correct,v2_R@1_correct,v1_R@5_correct,v2_R@5_correct,v1_R@10_correct,v2_R@10_correct,rank_shift_v2_minus_v1,alpha_v1,alpha_v2,SU,LU
157,3,3,rank_3,rank_3,False,False,True,True,True,True,0,1.0,0.6698220372200012,0.8771877288818359,0.9002665281295776
158,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9228501319885254,0.6439149975776672,0.9048669934272766
159,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9428346157073975,0.6684146523475647,0.9540567398071289
160,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9504705667495728,0.6156005859375,0.9245051741600037
161,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8904430866241455,0.7265128493309021,0.9310230016708374
162,11,11,outside_top10,outside_top10,False,False,False,False,False,False,0,1.0,0.575215220451355,0.822952389717102,0.845264196395874
163,1,2,rank_1,rank_2,True,False,True,True,True,True,1,1.0,0.6641578078269958,0.8988566398620605,0.9082702398300171
164,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9907428026199341,0.4923343062400818,0.9878512620925903
165,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7994842529296875,0.7911176681518555,0.9105510711669922
166,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.636298418045044,0.8978270292282104,0.8976647853851318
167,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.895233690738678,0.7604900002479553,0.9622960090637207
168,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8954834938049316,0.7744690179824829,0.9741508960723877
169,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9108090400695801,0.7732608318328857,0.9944585561752319
170,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.6360674880842134,0.6794329881668091,0.7467087507247925,0.8387603759765625
171,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.6414208480595477,0.84203040599823,0.7442634105682373,0.9059345722198486
172,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8814038038253784,0.8196301460266113,0.995162844657898
173,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.38175031652478014,0.6080795526504517,0.8563762307167053,0.8699613213539124
174,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7086117267608643,0.8447520732879639,0.8991185426712036
175,1,2,rank_1,rank_2,True,False,True,True,True,True,1,1.0,0.495109498500824,0.7710224390029907,0.8003612756729126
176,4,4,rank_4_5,rank_4_5,False,False,True,True,True,True,0,0.31173440001721425,0.5046325922012329,0.8890402913093567,0.8534729480743408
177,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7569435834884644,0.791326105594635,0.8904256820678711
178,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.5307454018200396,0.7892265915870667,0.7925800085067749,0.9061098098754883
179,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.774167537689209,0.8235902786254883,0.9166284799575806
180,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9001291394233704,0.7122948169708252,0.930128812789917
181,1,2,rank_1,rank_2,True,False,True,True,True,True,1,1.0,0.7003446817398071,0.9442934393882751,0.9449288249015808
182,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8022401928901672,0.8735288977622986,0.9632387161254883
183,3,4,rank_3,rank_4_5,False,False,True,True,True,True,1,0.17876233847516307,0.5444381833076477,0.966272234916687,0.8944684267044067
184,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.6908717005625833,0.8256494998931885,0.7207943201065063,0.8818626403808594
185,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.2826078769469353,0.25437137484550476,0.903748095035553,0.7871623039245605
186,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.2527111043785437,0.1539156138896942,0.9198369979858398,0.753874659538269
187,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.2649706432066665,0.2421291172504425,0.9131003618240356,0.7861758470535278
188,4,4,rank_4_5,rank_4_5,False,False,True,True,True,True,0,0.2884450215693967,0.5809178948402405,0.9007320404052734,0.8806384205818176
189,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.23183510265353408,0.19013074040412903,0.9318289756774902,0.7730807065963745
190,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.2595155701492029,0.23928864300251007,0.9160723686218262,0.7861758470535278
191,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.2610050482097534,0.3412730097770691,0.9152568578720093,0.8175321817398071
192,3,3,rank_3,rank_3,False,False,True,True,True,True,0,0.7751917023621372,0.8236902952194214,0.6750849485397339,0.8536064624786377
193,2,2,rank_2,rank_2,False,False,True,True,True,True,0,0.4011818888990652,0.38943198323249817,0.847777247428894,0.8061018586158752
194,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8661384582519531,0.7691884636878967,0.9402786493301392
195,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8880584836006165,0.7386828660964966,0.9377356767654419
196,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.5861469766586043,0.8729636669158936,0.7688724398612976,0.9460077881813049
197,5,5,rank_4_5,rank_4_5,False,False,True,True,True,True,0,0.2845683574064374,0.5205086469650269,0.9027309417724609,0.863344132900238
198,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8218127489089966,0.8574576377868652,0.9668416976928711
199,2,2,rank_2,rank_2,False,False,True,True,True,True,0,1.0,0.5816214084625244,0.9281840324401855,0.8920189738273621
200,3,2,rank_3,rank_2,False,False,True,True,True,True,-1,1.0,0.6695829629898071,0.9127588272094727,0.9167824387550354
201,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8904798626899719,0.7417445182800293,0.942438006401062
202,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.952858612828737,0.7037102580070496,0.4886852502822876,0.7073693871498108
203,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9178168773651123,0.6285662055015564,0.8885782957077026
204,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.7742306590080261,0.9017232656478882,0.9622079133987427
205,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.6443206071853638,0.883133590221405,0.8938707113265991
206,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.3554028899328899,0.6480095386505127,0.8683128952980042,0.8883514404296875
207,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8441597819328308,0.7905583381652832,0.9379661083221436
208,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.8463584184646606,0.7979192733764648,0.9446766376495361
209,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9440850019454956,0.6858081817626953,0.9725247621536255
210,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9201324582099915,0.6719053983688354,0.9222226142883301
211,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9596115946769714,0.645194411277771,0.9723341464996338
212,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9600984454154968,0.6004902124404907,0.9330771565437317
213,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9634085893630981,0.5857229232788086,0.9291819930076599
214,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.9604255557060242,0.6265465021133423,0.9568586349487305
215,1,1,rank_1,rank_1,True,True,True,True,True,True,0,1.0,0.888615071773529,0.7468268871307373,0.9444165229797363
216,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.5268913949713752,0.8857962489128113,0.7942101955413818,0.9790068864822388
217,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.9036208648108552,0.9763349294662476,0.5696550607681274,0.9595208764076233
218,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.6903937622630031,0.9262121319770813,0.7210301160812378,0.9712871313095093
219,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.4107592588847932,0.8274630308151245,0.8435910940170288,0.9617161750793457
220,1,1,rank_1,rank_1,True,True,True,True,True,True,0,0.6244045746700668,0.8269713521003723,0.7519842386245728,0.9017566442489624
221,1,3,rank_1,rank_3,True,False,True,True,True,True,2,1.0,0.5511928796768188,0.9104825854301453,0.8754457831382751
