Dataset,Split,Uncertainty_axis,Coverage,n_kept,mean_uncertainty_kept,rho,candidate_pool,uncertainty_k,mean_LU_full,mean_SU_full,mean_alpha_full,B1 visual-only_R@1,B1 visual-only_risk,B2 fixed fusion_R@1,B2 fixed fusion_risk,V1 sigmoid+threshold_R@1,V1 sigmoid+threshold_risk,V2 calibrated precision_R@1,V2 calibrated precision_risk
AmsterTime,full,joint_variance,0.6,739,1.1812721490859985,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,57.1041948579161,42.8958051420839,56.968876860622466,43.031123139377534,57.1041948579161,42.8958051420839,57.91610284167794,42.08389715832206
AmsterTime,full,joint_variance,0.7,862,1.2797240018844604,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,53.7122969837587,46.2877030162413,53.36426914153132,46.63573085846868,53.596287703016245,46.403712296983755,54.872389791183295,45.127610208816705
AmsterTime,full,joint_variance,0.8,985,1.3799138069152832,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,50.25380710659898,49.74619289340102,49.746192893401016,50.253807106598984,50.15228426395939,49.84771573604061,51.16751269035533,48.83248730964467
AmsterTime,full,joint_variance,0.9,1108,1.4830701351165771,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,46.75090252707581,53.24909747292419,46.66064981949459,53.33935018050541,46.48014440433213,53.51985559566787,47.65342960288809,52.34657039711191
AmsterTime,full,joint_variance,1.0,1231,1.609012484550476,3.0,10,10,0.901530385017395,0.7286254167556763,0.7169834971427917,43.46060113728676,56.53939886271324,43.623070674248574,56.376929325751426,43.21689683184403,56.78310316815597,44.35418359057677,55.64581640942323
MSLS-val held-out,heldout,LU,0.05,26,0.8166406154632568,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,92.3076923076923,7.692307692307693,100.0,0.0,96.15384615384616,3.8461538461538396,100.0,0.0
MSLS-val held-out,heldout,LU,0.1,52,0.8389074802398682,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,88.46153846153845,11.538461538461547,94.23076923076923,5.769230769230774,92.3076923076923,7.692307692307693,94.23076923076923,5.769230769230774
MSLS-val held-out,heldout,LU,0.2,104,0.8616943359375,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,85.57692307692307,14.423076923076934,87.5,12.5,86.53846153846155,13.461538461538453,87.5,12.5
MSLS-val held-out,heldout,LU,0.3,156,0.8740905523300171,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,87.17948717948718,12.820512820512818,87.82051282051282,12.179487179487182,87.82051282051282,12.179487179487182,88.46153846153845,11.538461538461547
MSLS-val held-out,heldout,LU,0.4,208,0.8827190399169922,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,85.57692307692307,14.423076923076934,86.0576923076923,13.942307692307693,86.0576923076923,13.942307692307693,86.53846153846155,13.461538461538453
